Week,early signs of the flu
03/01/2009,0
03/08/2009,0
03/15/2009,0
03/22/2009,0
03/29/2009,0
04/05/2009,0
04/12/2009,0
04/19/2009,0
04/26/2009,0
05/03/2009,0
05/10/2009,0
05/17/2009,0
05/24/2009,0
05/31/2009,0
06/07/2009,0
06/14/2009,0
06/21/2009,0
06/28/2009,0
07/05/2009,0
07/12/2009,0
07/19/2009,0
07/26/2009,0
08/02/2009,0
08/09/2009,0
08/16/2009,0
08/23/2009,0
08/30/2009,0
09/06/2009,0
09/13/2009,0
09/20/2009,0
09/27/2009,0
10/04/2009,0
10/11/2009,0
10/18/2009,0
10/25/2009,0
11/01/2009,0
11/08/2009,0
11/15/2009,0
11/22/2009,0
11/29/2009,0
12/06/2009,0
12/13/2009,0
12/20/2009,0
12/27/2009,0
01/03/2010,0
01/10/2010,0
01/17/2010,0
01/24/2010,0
01/31/2010,0
02/07/2010,0
02/14/2010,0
02/21/2010,0
02/28/2010,0
03/07/2010,0
03/14/2010,0
03/21/2010,0
03/28/2010,0
04/04/2010,0
04/11/2010,0
04/18/2010,0
04/25/2010,0
05/02/2010,0
05/09/2010,0
05/16/2010,0
05/23/2010,0
05/30/2010,0
06/06/2010,0
06/13/2010,0
06/20/2010,0
06/27/2010,0
07/04/2010,0
07/11/2010,0
07/18/2010,0
07/25/2010,0
08/01/2010,0
08/08/2010,0
08/15/2010,0
08/22/2010,0
08/29/2010,0
09/05/2010,0
09/12/2010,0
09/19/2010,0
09/26/2010,0
10/03/2010,0
10/10/2010,0
10/17/2010,0
10/24/2010,0
10/31/2010,0
11/07/2010,0
11/14/2010,0
11/21/2010,0
11/28/2010,0
12/05/2010,0
12/12/2010,0
12/19/2010,0
12/26/2010,0
01/02/2011,0
01/09/2011,0
01/16/2011,0
01/23/2011,0
01/30/2011,0
02/06/2011,0
02/13/2011,0
02/20/2011,0
02/27/2011,0
03/06/2011,0
03/13/2011,0
03/20/2011,0
03/27/2011,0
04/03/2011,0
04/10/2011,0
04/17/2011,0
04/24/2011,0
05/01/2011,0
05/08/2011,0
05/15/2011,0
05/22/2011,0
05/29/2011,0
06/05/2011,0
06/12/2011,0
06/19/2011,0
06/26/2011,0
07/03/2011,0
07/10/2011,0
07/17/2011,0
07/24/2011,0
07/31/2011,0
08/07/2011,0
08/14/2011,0
08/21/2011,0
08/28/2011,0
09/04/2011,0
09/11/2011,0
09/18/2011,0
09/25/2011,0
10/02/2011,0
10/09/2011,0
10/16/2011,0
10/23/2011,0
10/30/2011,0
11/06/2011,0
11/13/2011,0
11/20/2011,0
11/27/2011,0
12/04/2011,0
12/11/2011,0
12/18/2011,0
12/25/2011,0
01/01/2012,0
01/08/2012,0
01/15/2012,0
01/22/2012,0
01/29/2012,0
02/05/2012,0
02/12/2012,0
02/19/2012,0
02/26/2012,0
03/04/2012,0
03/11/2012,0
03/18/2012,0
03/25/2012,0
04/01/2012,0
04/08/2012,0
04/15/2012,0
04/22/2012,0
04/29/2012,0
05/06/2012,0
05/13/2012,0
05/20/2012,0
05/27/2012,0
06/03/2012,0
06/10/2012,0
06/17/2012,0
06/24/2012,0
07/01/2012,0
07/08/2012,0
07/15/2012,0
07/22/2012,0
07/29/2012,0
08/05/2012,0
08/12/2012,0
08/19/2012,0
08/26/2012,0
09/02/2012,0
09/09/2012,0
09/16/2012,0
09/23/2012,0
09/30/2012,0
10/07/2012,0
10/14/2012,0
10/21/2012,0
10/28/2012,0
11/04/2012,0
11/11/2012,0
11/18/2012,0
11/25/2012,0
12/02/2012,0
12/09/2012,28
12/16/2012,29
12/23/2012,30
12/30/2012,63
01/06/2013,97
01/13/2013,100
01/20/2013,72
01/27/2013,29
02/03/2013,0
02/10/2013,0
02/17/2013,0
02/24/2013,0
03/03/2013,0
03/10/2013,0
03/17/2013,0
03/24/2013,0
03/31/2013,0
04/07/2013,0
04/14/2013,0
04/21/2013,0
04/28/2013,0
05/05/2013,0
05/12/2013,0
05/19/2013,0
05/26/2013,0
06/02/2013,0
06/09/2013,0
06/16/2013,0
06/23/2013,0
06/30/2013,0
07/07/2013,0
07/14/2013,0
07/21/2013,0
07/28/2013,0
08/04/2013,0
08/11/2013,0
08/18/2013,0
08/25/2013,0
09/01/2013,0
09/08/2013,0
09/15/2013,0
09/22/2013,0
09/29/2013,0
10/06/2013,0
