Web Search interest: fever
United States; 2004 - present

Interest over time
Week,fever
2006-06-25 - 2006-07-01,45
2006-07-02 - 2006-07-08,47
2006-07-09 - 2006-07-15,42
2006-07-16 - 2006-07-22,45
2006-07-23 - 2006-07-29,41
2006-07-30 - 2006-08-05,43
2006-08-06 - 2006-08-12,44
2006-08-13 - 2006-08-19,40
2006-08-20 - 2006-08-26,44
2006-08-27 - 2006-09-02,42
2006-09-03 - 2006-09-09,44
2006-09-10 - 2006-09-16,43
2006-09-17 - 2006-09-23,47
2006-09-24 - 2006-09-30,45
2006-10-01 - 2006-10-07,49
2006-10-08 - 2006-10-14,48
2006-10-15 - 2006-10-21,45
2006-10-22 - 2006-10-28,46
2006-10-29 - 2006-11-04,47
2006-11-05 - 2006-11-11,44
2006-11-12 - 2006-11-18,48
2006-11-19 - 2006-11-25,44
2006-11-26 - 2006-12-02,45
2006-12-03 - 2006-12-09,49
2006-12-10 - 2006-12-16,50
2006-12-17 - 2006-12-23,47
2006-12-24 - 2006-12-30,49
2006-12-31 - 2007-01-06,48
2007-01-07 - 2007-01-13,51
2007-01-14 - 2007-01-20,54
2007-01-21 - 2007-01-27,61
2007-01-28 - 2007-02-03,59
2007-02-04 - 2007-02-10,60
2007-02-11 - 2007-02-17,61
2007-02-18 - 2007-02-24,61
2007-02-25 - 2007-03-03,66
2007-03-04 - 2007-03-10,62
2007-03-11 - 2007-03-17,59
2007-03-18 - 2007-03-24,54
2007-03-25 - 2007-03-31,56
2007-04-01 - 2007-04-07,52
2007-04-08 - 2007-04-14,52
2007-04-15 - 2007-04-21,49
2007-04-22 - 2007-04-28,50
2007-04-29 - 2007-05-05,48
2007-05-06 - 2007-05-12,54
2007-05-13 - 2007-05-19,48
2007-05-20 - 2007-05-26,47
2007-05-27 - 2007-06-02,47
2007-06-03 - 2007-06-09,51
2007-06-10 - 2007-06-16,49
2007-06-17 - 2007-06-23,47
2007-06-24 - 2007-06-30,44
2007-07-01 - 2007-07-07,44
2007-07-08 - 2007-07-14,44
2007-07-15 - 2007-07-21,43
2007-07-22 - 2007-07-28,42
2007-07-29 - 2007-08-04,45
2007-08-05 - 2007-08-11,44
2007-08-12 - 2007-08-18,44
2007-08-19 - 2007-08-25,43
2007-08-26 - 2007-09-01,45
2007-09-02 - 2007-09-08,45
2007-09-09 - 2007-09-15,44
2007-09-16 - 2007-09-22,45
2007-09-23 - 2007-09-29,44
2007-09-30 - 2007-10-06,48
2007-10-07 - 2007-10-13,46
2007-10-14 - 2007-10-20,45
2007-10-21 - 2007-10-27,46
2007-10-28 - 2007-11-03,50
2007-11-04 - 2007-11-10,45
2007-11-11 - 2007-11-17,48
2007-11-18 - 2007-11-24,46
2007-11-25 - 2007-12-01,47
2007-12-02 - 2007-12-08,47
2007-12-09 - 2007-12-15,46
2007-12-16 - 2007-12-22,45
2007-12-23 - 2007-12-29,47
2007-12-30 - 2008-01-05,49
2008-01-06 - 2008-01-12,51
2008-01-13 - 2008-01-19,50
2008-01-20 - 2008-01-26,55
2008-01-27 - 2008-02-02,57
2008-02-03 - 2008-02-09,64
2008-02-10 - 2008-02-16,63
2008-02-17 - 2008-02-23,61
2008-02-24 - 2008-03-01,63
2008-03-02 - 2008-03-08,57
2008-03-09 - 2008-03-15,57
2008-03-16 - 2008-03-22,53
2008-03-23 - 2008-03-29,54
2008-03-30 - 2008-04-05,52
2008-04-06 - 2008-04-12,53
2008-04-13 - 2008-04-19,52
2008-04-20 - 2008-04-26,52
2008-04-27 - 2008-05-03,49
2008-05-04 - 2008-05-10,53
2008-05-11 - 2008-05-17,50
2008-05-18 - 2008-05-24,47
2008-05-25 - 2008-05-31,52
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,48
2008-06-15 - 2008-06-21,46
2008-06-22 - 2008-06-28,47
2008-06-29 - 2008-07-05,48
2008-07-06 - 2008-07-12,46
2008-07-13 - 2008-07-19,45
2008-07-20 - 2008-07-26,43
2008-07-27 - 2008-08-02,43
2008-08-03 - 2008-08-09,40
2008-08-10 - 2008-08-16,41
2008-08-17 - 2008-08-23,43
2008-08-24 - 2008-08-30,42
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,45
2008-09-14 - 2008-09-20,43
2008-09-21 - 2008-09-27,45
2008-09-28 - 2008-10-04,44
2008-10-05 - 2008-10-11,46
2008-10-12 - 2008-10-18,45
2008-10-19 - 2008-10-25,46
2008-10-26 - 2008-11-01,46
2008-11-02 - 2008-11-08,44
2008-11-09 - 2008-11-15,47
2008-11-16 - 2008-11-22,45
2008-11-23 - 2008-11-29,43
2008-11-30 - 2008-12-06,47
2008-12-07 - 2008-12-13,48
2008-12-14 - 2008-12-20,45
2008-12-21 - 2008-12-27,45
2008-12-28 - 2009-01-03,47
2009-01-04 - 2009-01-10,49
2009-01-11 - 2009-01-17,50
2009-01-18 - 2009-01-24,49
2009-01-25 - 2009-01-31,54
2009-02-01 - 2009-02-07,55
2009-02-08 - 2009-02-14,59
2009-02-15 - 2009-02-21,58
2009-02-22 - 2009-02-28,58
2009-03-01 - 2009-03-07,57
2009-03-08 - 2009-03-14,55
2009-03-15 - 2009-03-21,56
2009-03-22 - 2009-03-28,54
2009-03-29 - 2009-04-04,52
2009-04-05 - 2009-04-11,49
2009-04-12 - 2009-04-18,51
2009-04-19 - 2009-04-25,51
2009-04-26 - 2009-05-02,60
2009-05-03 - 2009-05-09,53
2009-05-10 - 2009-05-16,52
2009-05-17 - 2009-05-23,52
2009-05-24 - 2009-05-30,51
2009-05-31 - 2009-06-06,49
2009-06-07 - 2009-06-13,52
2009-06-14 - 2009-06-20,49
2009-06-21 - 2009-06-27,49
2009-06-28 - 2009-07-04,46
2009-07-05 - 2009-07-11,47
2009-07-12 - 2009-07-18,44
2009-07-19 - 2009-07-25,44
2009-07-26 - 2009-08-01,46
2009-08-02 - 2009-08-08,44
2009-08-09 - 2009-08-15,45
2009-08-16 - 2009-08-22,45
2009-08-23 - 2009-08-29,47
2009-08-30 - 2009-09-05,49
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,54
2009-09-20 - 2009-09-26,55
2009-09-27 - 2009-10-03,58
2009-10-04 - 2009-10-10,63
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,67
2009-10-25 - 2009-10-31,69
2009-11-01 - 2009-11-07,63
2009-11-08 - 2009-11-14,60
2009-11-15 - 2009-11-21,55
2009-11-22 - 2009-11-28,51
2009-11-29 - 2009-12-05,50
2009-12-06 - 2009-12-12,49
2009-12-13 - 2009-12-19,46
2009-12-20 - 2009-12-26,47
2009-12-27 - 2010-01-02,48
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,50
2010-01-17 - 2010-01-23,50
2010-01-24 - 2010-01-30,53
2010-01-31 - 2010-02-06,52
2010-02-07 - 2010-02-13,52
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,53
2010-02-28 - 2010-03-06,53
2010-03-07 - 2010-03-13,54
2010-03-14 - 2010-03-20,52
2010-03-21 - 2010-03-27,53
2010-03-28 - 2010-04-03,50
2010-04-04 - 2010-04-10,50
2010-04-11 - 2010-04-17,51
2010-04-18 - 2010-04-24,51
2010-04-25 - 2010-05-01,54
2010-05-02 - 2010-05-08,53
2010-05-09 - 2010-05-15,53
2010-05-16 - 2010-05-22,53
2010-05-23 - 2010-05-29,53
2010-05-30 - 2010-06-05,50
2010-06-06 - 2010-06-12,47
2010-06-13 - 2010-06-19,48
2010-06-20 - 2010-06-26,48
2010-06-27 - 2010-07-03,46
2010-07-04 - 2010-07-10,49
2010-07-11 - 2010-07-17,51
2010-07-18 - 2010-07-24,50
2010-07-25 - 2010-07-31,49
2010-08-01 - 2010-08-07,53
2010-08-08 - 2010-08-14,48
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,48
2010-08-29 - 2010-09-04,49
2010-09-05 - 2010-09-11,49
2010-09-12 - 2010-09-18,50
2010-09-19 - 2010-09-25,51
2010-09-26 - 2010-10-02,49
2010-10-03 - 2010-10-09,49
2010-10-10 - 2010-10-16,48
2010-10-17 - 2010-10-23,50
2010-10-24 - 2010-10-30,51
2010-10-31 - 2010-11-06,85
2010-11-07 - 2010-11-13,55
2010-11-14 - 2010-11-20,53
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,50
2010-12-05 - 2010-12-11,51
2010-12-12 - 2010-12-18,51
2010-12-19 - 2010-12-25,53
2010-12-26 - 2011-01-01,59
2011-01-02 - 2011-01-08,65
2011-01-09 - 2011-01-15,63
2011-01-16 - 2011-01-22,64
2011-01-23 - 2011-01-29,72
2011-01-30 - 2011-02-05,72
2011-02-06 - 2011-02-12,76
2011-02-13 - 2011-02-19,88
2011-02-20 - 2011-02-26,82
2011-02-27 - 2011-03-05,75
2011-03-06 - 2011-03-12,72
2011-03-13 - 2011-03-19,68
2011-03-20 - 2011-03-26,66
2011-03-27 - 2011-04-02,67
2011-04-03 - 2011-04-09,64
2011-04-10 - 2011-04-16,63
2011-04-17 - 2011-04-23,61
2011-04-24 - 2011-04-30,60
2011-05-01 - 2011-05-07,59
2011-05-08 - 2011-05-14,62
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,60
2011-06-05 - 2011-06-11,61
2011-06-12 - 2011-06-18,56
2011-06-19 - 2011-06-25,59
2011-06-26 - 2011-07-02,55
2011-07-03 - 2011-07-09,55
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,55
2011-07-24 - 2011-07-30,54
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,53
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,52
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,55
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,61
2011-10-02 - 2011-10-08,58
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,57
2011-10-23 - 2011-10-29,57
2011-10-30 - 2011-11-05,58
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,62
2011-11-20 - 2011-11-26,56
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,55
2011-12-11 - 2011-12-17,56
2011-12-18 - 2011-12-24,56
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,62
2012-01-08 - 2012-01-14,63
2012-01-15 - 2012-01-21,62
2012-01-22 - 2012-01-28,60
2012-01-29 - 2012-02-04,63
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,65
2012-02-19 - 2012-02-25,67
2012-02-26 - 2012-03-03,65
2012-03-04 - 2012-03-10,74
2012-03-11 - 2012-03-17,67
2012-03-18 - 2012-03-24,68
2012-03-25 - 2012-03-31,63
2012-04-01 - 2012-04-07,63
2012-04-08 - 2012-04-14,65
2012-04-15 - 2012-04-21,70
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,62
2012-05-06 - 2012-05-12,61
2012-05-13 - 2012-05-19,62
2012-05-20 - 2012-05-26,68
2012-05-27 - 2012-06-02,62
2012-06-03 - 2012-06-09,60
2012-06-10 - 2012-06-16,60
2012-06-17 - 2012-06-23,58
2012-06-24 - 2012-06-30,57
2012-07-01 - 2012-07-07,55
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,56
2012-07-22 - 2012-07-28,54
2012-07-29 - 2012-08-04,53
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,54
2012-08-19 - 2012-08-25,58
2012-08-26 - 2012-09-01,59
2012-09-02 - 2012-09-08,61
2012-09-09 - 2012-09-15,58
2012-09-16 - 2012-09-22,58
2012-09-23 - 2012-09-29,59
2012-09-30 - 2012-10-06,59
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,100
2012-10-21 - 2012-10-27,69
2012-10-28 - 2012-11-03,60
2012-11-04 - 2012-11-10,61
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,60
2012-11-25 - 2012-12-01,61
2012-12-02 - 2012-12-08,66
2012-12-09 - 2012-12-15,68
2012-12-16 - 2012-12-22,71
2012-12-23 - 2012-12-29,80
2012-12-30 - 2013-01-05,81
2013-01-06 - 2013-01-12,80
2013-01-13 - 2013-01-19,78
2013-01-20 - 2013-01-26,77
2013-01-27 - 2013-02-02,73
2013-02-03 - 2013-02-09,74
2013-02-10 - 2013-02-16,67
2013-02-17 - 2013-02-23,67
2013-02-24 - 2013-03-02,68
2013-03-03 - 2013-03-09,67
2013-03-10 - 2013-03-16,70
2013-03-17 - 2013-03-23,65
2013-03-24 - 2013-03-30,67
2013-03-31 - 2013-04-06,66
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,61
2013-04-21 - 2013-04-27,61
2013-04-28 - 2013-05-04,64
2013-05-05 - 2013-05-11,66
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,58
2013-05-26 - 2013-06-01,60
2013-06-02 - 2013-06-08,56
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,58
2013-06-23 - 2013-06-29,60
2013-06-30 - 2013-07-06,59
2013-07-07 - 2013-07-13,58
2013-07-14 - 2013-07-20,56
2013-07-21 - 2013-07-27,56
2013-07-28 - 2013-08-03,55
2013-08-04 - 2013-08-10,55
2013-08-11 - 2013-08-17,56
2013-08-18 - 2013-08-24,57
2013-08-25 - 2013-08-31,56
2013-09-01 - 2013-09-07,58
2013-09-08 - 2013-09-14,58
2013-09-15 - 2013-09-21,62
2013-09-22 - 2013-09-28, 
2013-09-29 - 2013-10-05, 


Top subregions for fever
Subregion,fever
Arizona,100
Indiana,97
Alabama,96
Texas,93
Tennessee,93
Oklahoma,91
North Carolina,90
Louisiana,90
Mississippi,90
Arkansas,89
Pennsylvania,89
Georgia,89
New York,88
Hawaii,88
Kentucky,87
Florida,83
New Jersey,83
Missouri,82
Illinois,82
California,80
South Carolina,79
Maryland,79
Washington,79
Michigan,78
Massachusetts,78
Ohio,77
West Virginia,77
Connecticut,74
Nevada,74
Wisconsin,74
Kansas,74
Minnesota,74
District of Columbia,73
Oregon,72
Colorado,72
Nebraska,70
Delaware,69
Maine,69
Virginia,69
New Hampshire,68
Rhode Island,68
Iowa,67
Alaska,67
Vermont,67
New Mexico,66
Montana,66
Utah,66
South Dakota,66
Wyoming,64
Idaho,64
North Dakota,62


Top metros for fever
Metro,fever
Dothan,100
Phoenix,92
Atlanta,92
Monroe,91
Bakersfield,89
Birmingham,88
Columbus-Tupelo-West Point,88
South Bend,87
Tucson,86
New York,86
Hattiesburg-Laurel,86
Honolulu,86
Little Rock-Pine Bluff,84
Knoxville,83
Los Angeles,83
Tri-Cities,83
Greensboro,83
Nashville,82
Tulsa,82
Mobile,82
Houston,82
Lexington,82
Jackson,81
Indianapolis,80
Charlotte,80
New Orleans,80
Miami,79
Philadelphia,79
Austin,79
Waco-Temple-Bryan,78
Paducah,78
Charleston,78
Oklahoma City,78
Louisville,77
Columbus,77
Biloxi-Gulfport,77
Baton Rouge,77
Dallas-Fort Worth,76
Ft Smith-Fay-Springfield,76
Tallahassee,76
Salisbury,75
Yakima-Pasco,75
Raleigh-Durham,75
Billings,75
Greenville-New Bern-Washington,75
Shreveport,74
Bowling Green,74
Huntsville,74
San Antonio,74
Chattanooga,74
Erie,73
Evansville,73
Terre Haute,73
Portland,73
Chicago,73
Hartford,73
Memphis,73
Seattle-Tacoma,72
Boston,72
Odessa-Midland,72
Springfield,72
Jackson,72
Wichita Falls,72
Lafayette,71
Charlottesville,71
Augusta,71
Las Vegas,71
Wilmington,71
Sacramento,71
Charleston-Huntington,71
Harlingen,70
Baltimore,70
Wilkes Barre-Scranton,70
Panama City,70
Orlando,70
Peoria-Bloomington,70
Greenville-Spartenburg,70
Cleveland,70
Amarillo,70
Lafayette,70
Gainesville,69
Corpus Christi,69
Pittsburgh,69
Fresno,69
Tyler-Longview,69
Tampa,69
Richmond-Petersburg,69
Ft Wayne,69
Roanoke-Lynchburg,69
Harrisburg-Lancaster-Lebanon-York,69
St Louis,68
San Diego,68
Cheyenne,68
Burlington,68
Beaumont-Port Author,68
Denver,68
Detroit,68
Rochester-Mason City-Austin,67
Springfield-Holyoke,67
Washington,67
Missoula,67
Champaign-Springfield-Decatur,67
Wichita,67
Kansas City,67
Portland-Auburn,67
Columbia-Jefferson City,67
Abilene-Sweetwater,67
Madison,67
Macon,67
Montgomery,67
Providence,67
Columbus,67
Albany,66
Flint,66
Lubbock,66
Minneapolis-St Paul,66
Cincinnati,66
Rapid City,66
Norfolk-Portsmouth,65
Syracuse,65
Sioux Falls,65
Dayton,65
Florence-Myrtle Beach,65
Topeka,65
Minot-Bismarck-Dickinson,64
Toledo,64
Harrisonburg,64
Albuquerque,63
Colorado Springs,63
West Palm Beach,63
Jacksonville,63
Medford-Klamath Falls,63
Marquette,63
Savannah,63
Columbia,63
Santa Barbara,63
Grand Rapids,62
Eugene,62
Bangor,62
Milwaukee,62
Rockford,62
Palm Springs,62
Omaha,62
Lansing,62
San Francisco,62
Albany-Schenectady-Troy,61
Ft Myers,61
Chico-Redding,61
Cedar Rapids-Waterloo,60
Johnstown-Altoona,60
Spokane,60
El Paso,59
Anchorage,59
Salt Lake City,58
Monterey-Salinas,58
Buffalo,58
Reno,58
Traverse City-Cadillac,58
Lincoln-Hastings,57
Youngstown-Warren,57
Idaho Falls-Pocatello,57
Binghamton,57
Boise,57
Green Bay-Appleton,56
Des Moines,55
Fargo-Valley City,55
La Crosse-Eau Claire,54
Duluth,54
Rochester,53
Wausau-Rhinelander,52
Sioux City,50
Davenport-Rock Island-Moline,50
Utica-Rome,0
Watertown,0
Presque Isle,0
Wheeling,0
Lima,0
Bluefield-Beckley-Oak Hill,0
Elmira,0
Alpena,0
Zanesville,0
Parkersburg,0
Clarksburg-Weston,0
Joplin-Pittsburg,0
Victoria,0
Ottumwa-Kirksville,0
St Joseph,0
Lake Charles,0
Alexandria,0
Greenwood-Greenville,0
Sherman,0
San Angelo,0
Meridian,0
Quincy,0
Jonesboro,0
Mankato,0
North Platte,0
Fairbanks,0
Juneau,0
Laredo,0
Butte-Bozeman,0
Great Falls,0
Twin Falls,0
Helena,0
Casper-Riverton,0
Yuma,0
Grand Junction,0
Glendive,0
Eureka,0
Bend,0


Top cities for fever
City,fever
Phoenix,100
New York,97
Dallas,94
Atlanta,90
Chicago,87
Los Angeles,87
Houston,87
San Francisco,83
Philadelphia,82
Washington,81
Seattle,81
Miami,78
Boston,77
San Diego,77
Denver,73



Top searches for fever
the fever,100
fever symptoms,80
scarlet fever,55
cabin fever,45
yellow fever,45
high fever,45
night fever,40
baby fever,35
fever lyrics,30
dengue fever,30
temperature,30
fever temperature,30
valley fever,25
fever blisters,25
fever blister,25
flu,25
cat scratch fever,25
saturday night fever,25
symptoms of fever,25
child fever,25
toddler fever,25
fever in children,25
rocky mountain fever,20
sore throat,20
rheumatic fever,20
low grade fever,20
hay fever,20
fever chills,15
typhoid fever,15
infant fever,15
jungle fever,10
diarrhea,10
fever pitch,10
dog fever,10
strep throat,10
fever in adults,10
kids fever,10
feed a fever,10
flu symptoms,10
starve a fever,10
fever ray,10
cabin fever 2,10
teething fever,10
wiz khalifa,10
102 fever,10
103 fever,10
what causes fever,5
bieber fever,5
spring fever,5
fever and headache,5



Rising searches for fever
fever in adults,+200%
toddler fever,+170%
fever in children,+160%
baby fever,+130%
fever chills,+120%
child fever,+100%
diarrhea,+100%
sore throat,+90%
flu,+80%
dengue fever,+40%



