Week,pnumonia
03/01/2009,47
03/08/2009,40
03/15/2009,30
03/22/2009,28
03/29/2009,20
04/05/2009,33
04/12/2009,19
04/19/2009,16
04/26/2009,30
05/03/2009,21
05/10/2009,14
05/17/2009,26
05/24/2009,26
05/31/2009,26
06/07/2009,0
06/14/2009,0
06/21/2009,0
06/28/2009,0
07/05/2009,0
07/12/2009,0
07/19/2009,19
07/26/2009,13
08/02/2009,13
08/09/2009,13
08/16/2009,13
08/23/2009,17
08/30/2009,17
09/06/2009,18
09/13/2009,19
09/20/2009,15
09/27/2009,29
10/04/2009,25
10/11/2009,21
10/18/2009,35
10/25/2009,22
11/01/2009,18
11/08/2009,18
11/15/2009,27
11/22/2009,25
11/29/2009,25
12/06/2009,22
12/13/2009,18
12/20/2009,18
12/27/2009,20
01/03/2010,15
01/10/2010,13
01/17/2010,15
01/24/2010,14
01/31/2010,21
02/07/2010,31
02/14/2010,18
02/21/2010,18
02/28/2010,11
03/07/2010,29
03/14/2010,21
03/21/2010,17
03/28/2010,15
04/04/2010,13
04/11/2010,11
04/18/2010,11
04/25/2010,13
05/02/2010,15
05/09/2010,15
05/16/2010,15
05/23/2010,15
05/30/2010,15
06/06/2010,15
06/13/2010,15
06/20/2010,15
06/27/2010,13
07/04/2010,17
07/11/2010,21
07/18/2010,25
07/25/2010,16
08/01/2010,13
08/08/2010,12
08/15/2010,12
08/22/2010,14
08/29/2010,17
09/05/2010,13
09/12/2010,15
09/19/2010,15
09/26/2010,11
10/03/2010,14
10/10/2010,23
10/17/2010,30
10/24/2010,14
10/31/2010,16
11/07/2010,20
11/14/2010,26
11/21/2010,18
11/28/2010,29
12/05/2010,23
12/12/2010,19
12/19/2010,25
12/26/2010,26
01/02/2011,27
01/09/2011,19
01/16/2011,23
01/23/2011,30
01/30/2011,19
02/06/2011,17
02/13/2011,20
02/20/2011,23
02/27/2011,25
03/06/2011,25
03/13/2011,17
03/20/2011,20
03/27/2011,19
04/03/2011,14
04/10/2011,14
04/17/2011,13
04/24/2011,18
05/01/2011,18
05/08/2011,14
05/15/2011,17
05/22/2011,15
05/29/2011,13
06/05/2011,12
06/12/2011,10
06/19/2011,14
06/26/2011,14
07/03/2011,11
07/10/2011,11
07/17/2011,8
07/24/2011,8
07/31/2011,10
08/07/2011,8
08/14/2011,9
08/21/2011,9
08/28/2011,12
09/04/2011,7
09/11/2011,13
09/18/2011,9
09/25/2011,17
10/02/2011,18
10/09/2011,16
10/16/2011,13
10/23/2011,18
10/30/2011,17
11/06/2011,18
11/13/2011,15
11/20/2011,16
11/27/2011,19
12/04/2011,20
12/11/2011,19
12/18/2011,19
12/25/2011,17
01/01/2012,12
01/08/2012,18
01/15/2012,20
01/22/2012,16
01/29/2012,14
02/05/2012,18
02/12/2012,14
02/19/2012,17
02/26/2012,21
03/04/2012,17
03/11/2012,14
03/18/2012,13
03/25/2012,13
04/01/2012,10
04/08/2012,7
04/15/2012,9
04/22/2012,12
04/29/2012,14
05/06/2012,13
05/13/2012,9
05/20/2012,7
05/27/2012,9
06/03/2012,10
06/10/2012,9
06/17/2012,10
06/24/2012,9
07/01/2012,7
07/08/2012,7
07/15/2012,8
07/22/2012,9
07/29/2012,8
08/05/2012,6
08/12/2012,7
08/19/2012,9
08/26/2012,12
09/02/2012,17
09/09/2012,5
09/16/2012,14
09/23/2012,10
09/30/2012,15
10/07/2012,13
10/14/2012,14
10/21/2012,15
10/28/2012,14
11/04/2012,15
11/11/2012,10
11/18/2012,10
11/25/2012,16
12/02/2012,11
12/09/2012,17
12/16/2012,18
12/23/2012,17
12/30/2012,15
01/06/2013,14
01/13/2013,16
01/20/2013,13
01/27/2013,11
02/03/2013,13
02/10/2013,10
02/17/2013,16
02/24/2013,16
03/03/2013,15
03/10/2013,10
03/17/2013,10
03/24/2013,7
03/31/2013,10
04/07/2013,9
04/14/2013,6
04/21/2013,8
04/28/2013,8
05/05/2013,7
05/12/2013,7
05/19/2013,7
05/26/2013,7
06/02/2013,9
06/09/2013,6
06/16/2013,8
06/23/2013,8
06/30/2013,8
07/07/2013,5
07/14/2013,6
07/21/2013,6
07/28/2013,7
08/04/2013,7
08/11/2013,6
08/18/2013,6
08/25/2013,6
09/01/2013,8
09/08/2013,10
09/15/2013,13
09/22/2013,8
09/29/2013,10
10/06/2013,0
